id,key,value,type
42421877,highway,traffic_signals,regular
42421889,highway,traffic_signals,regular
42422258,highway,traffic_signals,regular
42422899,highway,traffic_signals,regular
42423020,highway,traffic_signals,regular
42423549,exit_to,Houston Street; Holland Tunnel,regular
42423549,highway,motorway_junction,regular
42423549,ref,5,regular
42423564,highway,traffic_signals,regular
42423565,highway,traffic_signals,regular
42423752,highway,traffic_signals,regular
42423885,highway,traffic_signals,regular
42424089,highway,traffic_signals,regular
42424098,crossing,traffic_signals,regular
42424098,highway,traffic_signals,regular
42424098,sloped_curb,yes,regular
42424672,crossing,traffic_signals,regular
42424672,highway,traffic_signals,regular
42424672,sloped_curb,yes,regular
42424789,highway,traffic_signals,regular
42424864,highway,traffic_signals,regular
42426816,highway,traffic_signals,regular
42426865,exit_to,East 23rd Street,regular
42426865,highway,motorway_junction,regular
42426865,ref,7,regular
42427369,highway,traffic_signals,regular
42427371,highway,traffic_signals,regular
42427374,highway,traffic_signals,regular
42427381,highway,traffic_signals,regular
42427386,highway,traffic_signals,regular
42427390,highway,traffic_signals,regular
42427393,highway,traffic_signals,regular
42427423,highway,traffic_signals,regular
42427426,highway,traffic_signals,regular
42427427,highway,traffic_signals,regular
42427477,highway,traffic_signals,regular
42427483,highway,traffic_signals,regular
42427494,highway,traffic_signals,regular
42427762,highway,traffic_signals,regular
42427786,highway,traffic_signals,regular
42427787,crossing,traffic_signals,regular
42427787,highway,traffic_signals,regular
42427787,sloped_curb,yes,regular
42427797,highway,traffic_signals,regular
42427805,highway,traffic_signals,regular
42427812,highway,traffic_signals,regular
42427817,highway,traffic_signals,regular
42427821,highway,traffic_signals,regular
42427824,highway,traffic_signals,regular
42427828,highway,traffic_signals,regular
42427965,highway,traffic_signals,regular
42427968,highway,traffic_signals,regular
42427970,highway,traffic_signals,regular
42427972,highway,traffic_signals,regular
42427975,highway,traffic_signals,regular
42427979,highway,traffic_signals,regular
42427985,highway,traffic_signals,regular
42427991,highway,traffic_signals,regular
42427996,highway,traffic_signals,regular
42428003,highway,traffic_signals,regular
42428005,highway,traffic_signals,regular
42428007,highway,traffic_signals,regular
42428010,highway,traffic_signals,regular
42428015,highway,traffic_signals,regular
42428170,highway,traffic_signals,regular
42428174,crossing,traffic_signals,regular
42428174,highway,traffic_signals,regular
42428174,sloped_curb,yes,regular
42428179,crossing,traffic_signals,regular
42428179,highway,traffic_signals,regular
42428179,sloped_curb,yes,regular
42428183,crossing,traffic_signals,regular
42428183,highway,traffic_signals,regular
42428183,sloped_curb,yes,regular
42428192,crossing,traffic_signals,regular
42428192,highway,traffic_signals,regular
42428192,sloped_curb,yes,regular
42428198,highway,traffic_signals,regular
42428201,highway,traffic_signals,regular
42428206,crossing,traffic_signals,regular
42428206,highway,traffic_signals,regular
42428212,highway,traffic_signals,regular
42428216,highway,traffic_signals,regular
42428220,crossing,traffic_signals,regular
42428220,highway,traffic_signals,regular
42428220,sloped_curb,yes,regular
42428223,crossing,traffic_signals,regular
