id,user,uid,version,changeset,timestamp
5668989,TheBestIdea,298513,13,48506102,2017-05-08T16:01:38Z
5668993,zireael,5293980,10,51197606,2017-08-17T08:43:51Z
5669077,NE2,207745,8,3404563,2009-12-19T01:51:40Z
5669108,Korzun,1424765,9,18017773,2013-09-24T21:51:17Z
5669154,ALE!,40023,19,35462929,2015-11-20T14:38:22Z
5669218,petrar_telenav,4940486,11,50079917,2017-07-06T09:41:46Z
5669221,ALE!,40023,8,40400569,2016-06-30T19:15:52Z
5669226,petrar_telenav,4940486,10,50079972,2017-07-06T09:44:38Z
5669227,SH17,2591427,7,34666268,2015-10-15T23:57:55Z
5669228,SH17,2591427,6,34666268,2015-10-15T23:58:04Z
5669332,SH17,2591427,8,34666268,2015-10-15T23:57:56Z
5669356,petrar_telenav,4940486,11,50079917,2017-07-06T09:41:46Z
5669402,Korzun,1424765,5,17923002,2013-09-19T13:43:16Z
5669509,SH17,2591427,3,34625527,2015-10-14T04:48:12Z
5669563,SH17,2591427,2,34625527,2015-10-14T04:48:10Z
5669566,Richard,165,20,51592509,2017-08-30T19:56:39Z
5669577,ALE!,40023,24,47128140,2017-03-24T15:58:52Z
5669580,ALE!,40023,19,41690571,2016-08-25T15:06:52Z
5669581,NE2,207745,6,3404563,2009-12-19T02:27:59Z
5669593,DaveHansenTiger,7168,1,341773,2007-09-05T22:44:23Z
5669615,Gabriel Ehrnst Grundin,3253363,5,37840471,2016-03-15T11:03:48Z
5669643,Sunfishtommy,2302638,10,46800855,2017-03-13T03:29:39Z
5669664,robgeb,336460,5,36880220,2016-01-29T14:14:52Z
5669669,marthaleena,5659851,25,50198774,2017-07-11T10:58:42Z
5669709,Komяpa,29320,11,49585007,2017-06-16T09:10:57Z
5669806,karitotp,2748195,10,49112795,2017-05-30T19:22:48Z
5669809,Sunfishtommy,2302638,7,46800480,2017-03-13T02:55:46Z
5669835,Sunfishtommy,2302638,12,46800855,2017-03-13T03:29:39Z
5669837,Sunfishtommy,2302638,4,46800480,2017-03-13T02:55:47Z
5669842,Sunfishtommy,2302638,10,46800480,2017-03-13T02:55:47Z
5669875,Sunfishtommy,2302638,19,46843007,2017-03-14T14:46:33Z
5669879,Komяpa,29320,11,49585007,2017-06-16T09:10:57Z
5669925,danielcboyer,6346335,10,50574167,2017-07-26T02:22:24Z
5669945,Sunfishtommy,2302638,25,46800855,2017-03-13T03:29:39Z
5669953,Sunfishtommy,2302638,13,46800480,2017-03-13T02:55:47Z
5669962,Sunfishtommy,2302638,19,46728124,2017-03-10T04:19:48Z
5669976,ALE!,40023,14,48923327,2017-05-23T18:08:53Z
5669978,Sunfishtommy,2302638,9,46800480,2017-03-13T02:55:48Z
5669993,TheBestIdea,298513,6,48133465,2017-04-25T17:22:00Z
5670009,TheBestIdea,298513,15,43455735,2016-11-07T02:45:47Z
5670010,TheBestIdea,298513,12,47990323,2017-04-21T04:19:27Z
5670011,Sunfishtommy,2302638,9,46800855,2017-03-13T03:29:39Z
5670012,RichRico,2219338,8,49114175,2017-05-30T20:20:36Z
5670029,Komяpa,29320,7,49585007,2017-06-16T09:10:57Z
5670036,NE2,207745,3,3400863,2009-12-18T15:17:15Z
5670044,TheBestIdea,298513,19,48506102,2017-05-08T16:01:37Z
5670087,TheBestIdea,298513,14,48506102,2017-05-08T16:01:38Z
5670106,robgeb,336460,15,43553116,2016-11-11T08:10:24Z
5670114,Mauls,24119,18,47884494,2017-04-17T20:25:53Z
5670124,robgeb,336460,16,36533537,2016-01-12T17:14:32Z
5670139,asaf@streetsmart,3412719,12,36262891,2015-12-30T14:00:45Z
5670170,Sunfishtommy,2302638,6,46800480,2017-03-13T02:55:49Z
5670171,Sunfishtommy,2302638,8,46800480,2017-03-13T02:55:49Z
5670172,Sunfishtommy,2302638,8,46800480,2017-03-13T02:55:49Z
5670178,zireael,5293980,9,51197960,2017-08-17T08:55:05Z
5670197,syskill,5687359,9,47880611,2017-04-17T18:19:21Z
5670204,Sunfishtommy,2302638,6,46800480,2017-03-13T02:55:49Z
5670225,zz_top,4928856,18,44223590,2016-12-07T00:52:20Z
5670232,Nikola K,5419835,11,51200654,2017-08-17T10:28:52Z
5670243,TheBestIdea,298513,6,46082629,2017-02-14T15:54:56Z
5670247,ALE!,40023,12,48923327,2017-05-23T18:06:11Z
5670254,Sunfishtommy,2302638,7,46800704,2017-03-13T03:15:35Z
5670275,Komяpa,29320,19,49502006,2017-06-13T14:27:45Z
5670296,Sunfishtommy,2302638,11,46857988,2017-03-15T03:12:57Z
5670297,ALE!,40023,13,49168042,2017-06-01T15:22:50Z
5670317,ALE!,40023,14,40213270,2016-06-22T20:10:33Z
5670451,TheBestIdea,298513,16,46082897,2017-02-14T16:05:02Z
5670454,infinitesunrise,4434293,9,41811184,2016-08-30T20:49:41Z
5670458,Komяpa,29320,11,49585007,2017-06-16T09:10:58Z
5670466,Sunfishtommy,2302638,9,46828615,2017-03-14T02:52:44Z
5670481,ALE!,40023,10,35848984,2015-12-09T16:01:30Z
5670485,Sunfishtommy,2302638,15,46857988,2017-03-15T03:12:58Z
5670488,TheBestIdea,298513,11,46987182,2017-03-19T16:34:58Z
5670498,Sunfishtommy,2302638,6,46800480,2017-03-13T02:55:50Z
5670510,Sunfishtommy,2302638,9,46728124,2017-03-10T04:19:49Z
5670512,Sunfishtommy,2302638,9,46728124,2017-03-10T04:19:49Z
5670514,Sunfishtommy,2302638,5,46800480,2017-03-13T02:55:50Z
5670522,Sunfishtommy,2302638,17,46800704,2017-03-13T03:15:35Z
5670551,Sunfishtommy,2302638,14,46800704,2017-03-13T03:15:35Z
5670572,Josh D'Ambrosio,2728930,9,29247290,2015-03-04T15:36:56Z
5670581,Sunfishtommy,2302638,5,46800855,2017-03-13T03:29:40Z
5670600,Luis36995,1829683,32,49113071,2017-05-30T19:36:06Z
5670603,CartoRD,2958525,13,43455048,2016-11-07T01:07:55Z
5670621,Sunfishtommy,2302638,14,46800704,2017-03-13T03:15:35Z
5670651,Sunfishtommy,2302638,11,46800480,2017-03-13T02:55:50Z
5670673,Sunfishtommy,2302638,10,46800855,2017-03-13T03:29:40Z
5670701,TheBestIdea,298513,12,47990230,2017-04-21T04:11:48Z
5670719,ALE!,40023,20,49168042,2017-06-01T15:22:50Z
5670731,TheBestIdea,298513,17,50622927,2017-07-27T15:21:46Z
5670736,Sunfishtommy,2302638,9,46800855,2017-03-13T03:29:41Z
5670740,petrar_telenav,4940486,13,50079803,2017-07-06T09:35:29Z
5670756,Sunfishtommy,2302638,17,46728124,2017-03-10T04:19:50Z
5670770,Sunfishtommy,2302638,10,46800855,2017-03-13T03:29:41Z
5670771,Sunfishtommy,2302638,12,46800855,2017-03-13T03:29:41Z
5670778,Sunfishtommy,2302638,5,46800855,2017-03-13T03:29:41Z
5670782,Sunfishtommy,2302638,6,46800480,2017-03-13T02:55:51Z
5670785,TheBestIdea,298513,17,46987182,2017-03-19T16:34:56Z
5670787,Sunfishtommy,2302638,11,46800704,2017-03-13T03:15:36Z
5670803,mihaii_telenav,2944689,23,48551701,2017-05-10T06:18:51Z
5670814,ALE!,40023,10,49172805,2017-06-01T18:00:26Z
5670836,samely,2512300,16,49114834,2017-05-30T20:52:11Z
5670867,Wolowitz,670376,14,47560470,2017-04-08T08:09:48Z
5670874,ALE!,40023,10,41413117,2016-08-12T15:49:35Z
5670876,Sunfishtommy,2302638,12,46800855,2017-03-13T03:29:42Z
5670891,bot-mode,451693,6,14794505,2013-01-26T16:25:54Z
5670896,TheBestIdea,298513,13,45440226,2017-01-24T16:02:08Z
5670897,Wolowitz,670376,16,47169453,2017-03-26T08:12:20Z
5670899,SH17,2591427,12,34644376,2015-10-14T23:55:55Z
5670905,maxsklar,614435,4,13211481,2012-09-22T19:05:42Z
5670906,robgeb,336460,4,10431039,2012-01-18T20:13:30Z
5670907,vanshnookenraggen,120567,3,1011225,2009-04-29T06:27:02Z
5670908,maxsklar,614435,4,13211481,2012-09-22T19:05:42Z
5670909,SteveC,682,3,323613,2008-06-28T21:26:38Z
5670910,jlert,26307,2,116380,2008-02-13T07:05:34Z
5670912,jlert,26307,2,116380,2008-02-13T07:05:37Z
5670913,vanshnookenraggen,120567,5,1011225,2009-04-29T06:26:21Z
5670924,Sunfishtommy,2302638,16,46800480,2017-03-13T02:55:51Z
5670941,Sunfishtommy,2302638,6,46799815,2017-03-13T01:57:22Z
5670942,alemm,5459030,7,46963151,2017-03-18T18:21:12Z
5671007,TheBestIdea,298513,7,45440226,2017-01-24T16:02:11Z
5671095,zireael,5293980,13,51202048,2017-08-17T11:27:46Z
5671115,skorasaurus,205523,21,49445959,2017-06-11T16:05:53Z
5671117,CartoRD,2958525,17,45042043,2017-01-10T04:19:39Z
5671129,TheBestIdea,298513,8,45275266,2017-01-18T17:06:27Z
5671146,nyuriks,339581,27,43721431,2016-11-17T08:33:35Z
5671158,bot-mode,451693,4,14794505,2013-01-26T16:26:00Z
5671160,ALE!,40023,10,36270677,2015-12-30T20:35:11Z
5671181,saqeram,703109,14,48466450,2017-05-07T06:03:01Z
5671182,nyuriks,339581,7,43721431,2016-11-17T08:33:36Z
5671192,Luis36995,1829683,16,39567833,2016-05-25T21:28:09Z
5671203,Sunfishtommy,2302638,5,46800480,2017-03-13T02:55:52Z
5671261,Sunfishtommy,2302638,11,46800480,2017-03-13T02:55:53Z
5671276,SH17,2591427,29,47604700,2017-04-09T21:35:55Z
5671311,ALE!,40023,24,49308988,2017-06-06T15:36:02Z
5671315,Sunfishtommy,2302638,19,46914851,2017-03-17T01:38:47Z
5671317,Sunfishtommy,2302638,15,46914591,2017-03-17T01:07:04Z
5671349,infinitesunrise,4434293,15,41811184,2016-08-30T20:49:36Z
5671359,Sunfishtommy,2302638,20,46800855,2017-03-13T03:29:42Z
5671365,ALE!,40023,6,37271036,2016-02-17T16:48:45Z
5671370,NE2,207745,4,3394023,2009-12-17T13:43:39Z
